Row_1,Notes regarding Input Position / Object Name,Input Position (RA),Input Position (DEC),Sep (''),Essential Note,Object Name,Amusing Name,amusing redshift,RA (J2000),Dec (J2000),Row_1a
1,,12:49:12.23,-08:37:41.50,0.1,,SN 1983K,NGC4699,0.004650,12h49m12.23s,-08d37m41.5s,1
2,,10:54:18.95,+27:14:07.30,0.0,,SN 1997dn,NGC3451,0.004450,10h54m18.95s,+27d14m07.3s,2
3,,,,5.8,,SDSS J105418.87+271401.5,,,10h54m18.87s,+27d14m01.6s,3
4,NOTE: No objects found in NED within 10.0 arcsec,10:48:26.28,+12:13:02.70,,,,NGC3389,0.004364,,,4
5,,12:54:51.10,+02:39:14.90,0.0,,SN 2011jm,NGC4809,0.003052,12h54m51.10s,+02d39m14.9s,5
6,,,,0.6,NGC gives only one pos. for N4809 & N4810. NED follows CGCG and RC2.,NGC 4809,,,12h54m51.06s,+02d39m14.7s,6
7,,,,2.0,,SDSS J125451.21+023915.8,,,12h54m51.22s,+02d39m15.8s,7
8,,,,7.5,,SDSS J125451.57+023917.3,,,12h54m51.57s,+02d39m17.3s,8
9,,12:32:42.00,+14:03:04.00,2.9,ASIAGO3 396 is a knot in IC 3476.,IC 3476,IC3476,0.000564,12h32m41.88s,+14d03m01.6s,9
10,,,,8.9,,GALEXASC J123241.65+140256.6,,,12h32m41.65s,+14d02m56.6s,10
11,,15:21:33.23,-07:22:26.50,0.1,,SN 1990Q,NGC5917,0.006351,15h21m33.23s,-07d22m26.5s,11
12,,19:09:45.00,-63:51:22.00,8.8,,NGC 6744 GROUP,NGC6744,0.002805,19h09m46.10s,-63d51m27.0s,12
13,,,,8.9,Extended HIPASS source,NGC 6744,,,19h09m46.10s,-63d51m27.1s,13
14,,19:35:03.17,-52:50:46.10,1.8,,[KWP2004] S1A,ESO184-G082,0.008670,19h35m03.31s,-52d50m44.8s,14
15,,,,1.9,,SN 1998bw,,,19h35m03.31s,-52d50m44.6s,15
16,,,,2.8,,[KWP2004] S1B,,,19h35m03.23s,-52d50m43.4s,16
17,,22:40:17.02,-02:25:34.10,0.0,,SN 2012ho,MCG-01-57-021,0.009907,22h40m17.02s,-02d25m34.1s,17
18,,,,5.3,,GALEXASC J224017.07-022528.8,,,22h40m17.07s,-02d25m28.9s,18
19,,01:09:39.03,-61:19:58.30,1.4,,ESO 113- G 018,ESO113-G018,0.026321,01h09m39.08s,-61d19m59.7s,19
20,,10:31:33.92,-39:57:28.20,1.9,,SN 2009bb,NGC3278,0.009877,10h31m33.87s,-39d57m30.0s,20
21,,12:43:40.74,+16:23:14.10,0.0,,SN 2006my,NGC4651,0.002628,12h43m40.74s,+16d23m14.1s,21
22,,13:00:41.80,+02:29:45.80,0.0,,SN 1999br,NGC4900,0.003201,13h00m41.80s,+02d29m45.8s,22
23,,15:21:55.45,+05:03:42.10,0.0,,SN 2001X,NGC5921,0.004937,15h21m55.45s,+05d03m42.1s,23
24,NOTE: No objects found in NED within 10.0 arcsec,17:53:48.96,-31:44:40.50,,,,TOCP,NULL,,,24
25,,22:20:57.00,-46:02:05.00,6.1,The APM position is 0.5 arcmin north of the center of the bar.,IC 5201,IC5201,0.003052,22h20m57.44s,-46d02m09.1s,25
26,NOTE: No objects found in NED within 10.0 arcsec,19:38:30.11,-79:25:51.90,,,,AN15id,NULL,,,26
27,,11:04:02.99,+28:02:12.60,0.7,,NGC 3512,NGC3512,0.004590,11h04m02.94s,+28d02m12.5s,27
28,,,,4.1,,GALEXASC J110402.71+280214.5,,,11h04m02.71s,+28d02m14.6s,28
29,,12:28:41.00,+09:15:30.00,6.9,,NGC 4451,NGC4451,0.002882,12h28m40.55s,+09d15m31.7s,29
30,,,,8.3,,GALEXASC J122840.50+091533.8,,,12h28m40.50s,+09d15m33.9s,30
31,,,,9.3,,SDSS J122840.63+091537.6,,,12h28m40.64s,+09d15m37.7s,31
32,,,,9.6,,SN 1985G,,,12h28m40.64s,+09d15m38.0s,32
33,,12:56:14.01,-29:29:54.80,0.0,,SN 2011fh,NGC4806,0.008032,12h56m14.01s,-29d29m54.8s,33
34,,10:05:21.05,-34:13:21.00,0.0,,SN 2010F,NGC3120,0.009310,10h05m21.05s,-34d13m21.0s,34
35,,12:31:09.46,-08:02:56.30,0.0,,SN 2009N,NGC4487,0.003456,12h31m09.46s,-08d02m56.3s,35
36,,,,2.7,,NGC 4487:[BKB2006] 0103,,,12h31m09.44s,-08d02m53.6s,36
37,,,,4.1,,NGC 4487:[BKB2006] 0042,,,12h31m09.73s,-08d02m55.6s,37
38,,,,4.8,,NGC 4487:[BKB2006] 0088,,,12h31m09.36s,-08d03m00.9s,38
39,,,,8.1,,NGC 4487:[BKB2006] 0139,,,12h31m09.99s,-08d02m58.2s,39
40,,,,9.2,,NGC 4487:[BKB2006] 0106,,,12h31m08.84s,-08d02m56.8s,40
41,,12:53:28.85,+02:10:22.60,0.1,,SN 1988E,NGC4772,0.003469,12h53m28.85s,+02d10m22.6s,41
42,,,,8.1,This is the northwestern end of the galaxy NGC 4772.,SDSS J125328.31+021023.4,,,12h53m28.31s,+02d10m23.5s,42
43,,10:37:16.07,-41:37:47.80,0.0,,SN 2000cl,NGC3318,0.009255,10h37m16.07s,-41d37m47.8s,43
44,,12:48:14.28,-03:19:58.50,0.0,,SN 1997X,NGC4691,0.003703,12h48m14.28s,-03d19m58.5s,44
45,,,,5.2,,CXO J124813.9-032000,,,12h48m13.95s,-03d20m00.2s,45
46,,,,8.8,,2MASXi J1248139-031950,,,12h48m13.92s,-03d19m51.5s,46
47,,,,9.8,,NGC 4691,,,12h48m13.63s,-03d19m57.8s,47
48,,13:07:10.53,-28:14:02.50,0.0,,SN 2000P,NGC4965,0.007542,13h07m10.53s,-28d14m02.5s,48
49,,22:42:11.00,+19:59:49.00,6.9,,UGC 12158,UGC12158,0.030974,22h42m10.51s,+19d59m49.1s,49
50,,21:49:07.00,+00:26:50.00,4.4,,UGC 11816,UGC11816,0.015837,21h49m07.29s,+00d26m50.4s,50
51,,,,8.0,,GALEXASC J214907.39+002655.3,,,21h49m07.40s,+00d26m55.3s,51
52,,08:38:24.00,+17:37:53.00,2.2,,ARK 174,M+03-22-20,0.026645,08h38m23.85s,+17d37m52.8s,52
53,,14:56:43.00,+09:19:42.00,6.4,,2MASX J14564322+0919361,anon1,0.080570,14h56m43.21s,+09d19m36.4s,53
54,,,,6.4,,MSPM 05121,,,14h56m43.22s,+09d19m36.5s,54
55,,,,9.6,,SN 2005ag,,,14h56m43.65s,+09d19m42.5s,55
56,,14:59:32.00,+16:40:11.00,6.9,,SDSS J145931.51+164011.0,anon2,0.035024,14h59m31.52s,+16d40m11.0s,56
57,,12:17:17.00,+16:22:18.00,2.6,,SN 2005bg,M+03-31-93,0.023086,12h17m17.18s,+16d22m17.6s,57
58,,,,3.4,Multiple SDSS entries describe this object.,KUG 1214+166,,,12h17m17.23s,+16d22m17.4s,58
59,,03:01:11.00,-00:33:13.00,7.3,,SDSS J030110.70-003307.1,anon3,0.060041,03h01m10.71s,-00d33m07.1s,59
60,,01:56:48.00,-00:12:45.00,4.3,,SN 2005hc,M+00-06-03,0.045931,01h56m47.94s,-00d12m49.2s,60
61,,,,7.6,,MCG +00-06-003,,,01h56m48.50s,-00d12m45.3s,61
62,,01:26:48.00,-01:14:16.00,4.1,,SN 2005hj,anon4,0.058040,01h26m48.27s,-01d14m16.8s,62
63,,,,7.0,,SDSS J012648.45-011417.3,,,01h26m48.46s,-01d14m17.3s,63
64,NOTE: No objects found in NED within 10.0 arcsec,01:16:43.00,+00:47:40.00,,,,anon5,0.076452,,,64
65,,22:59:42.00,-00:00:49.00,4.7,,SDSS J225942.03-000044.3,anon6,0.050034,22h59m42.03s,-00d00m44.3s,65
66,,,,7.9,,GALEXASC J225942.51-000047.6,,,22h59m42.52s,-00d00m47.7s,66
67,,,,9.2,,SN 2005ku,,,22h59m42.61s,-00d00m49.3s,67
68,,,,10.0,,2MASX J22594265-0000478,,,22h59m42.66s,-00d00m48.8s,68
69,,02:36:04.00,-17:15:50.00,2.5,,GALEXASC J023604.16-171549.0,M-03-07-40,0.032188,02h36m04.16s,-17d15m49.1s,69
70,,,,3.3,,2MASXi J0236042-171549,,,02h36m04.23s,-17d15m49.5s,70
71,,,,4.2,,SN 2005lu,,,02h36m03.71s,-17d15m50.0s,71
72,,,,6.3,,ESO 545- G 038,,,02h36m03.63s,-17d15m46.6s,72
73,,09:37:33.00,+23:12:11.00,1.7,,SDSS J093732.95+231212.5,NGC2930,0.022011,09h37m32.96s,+23d12m12.6s,73
74,,,,1.8,,SDSS J093732.97+231209.2,,,09h37m32.98s,+23d12m09.2s,74
75,,,,3.2,,2MASX J09373277+2312121,,,09h37m32.78s,+23d12m12.0s,75
76,,,,3.4,,SDSS J093732.77+231212.2,,,09h37m32.77s,+23d12m12.3s,76
77,,,,5.6,,GALEXASC J093732.69+231214.6,,,09h37m32.69s,+23d12m14.7s,77
78,,,,5.9,RC3 has V_sun = 6599 +- 60 km/s.,NGC 2930,,,09h37m32.60s,+23d12m09.0s,78
79,,,,8.1,,SDSS J093732.40+231211.2,,,09h37m32.41s,+23d12m11.3s,79
80,,,,8.1,This is part of the GGroup WBL 227.,HOLM 134,,,09h37m33.40s,+23d12m05.0s,80
81,,07:01:37.00,+14:08:11.00,5.4,,UGC 03634,UGC3634,0.026321,07h01m36.76s,+14d08m06.9s,81
82,,13:30:02.00,+13:24:59.00,3.7,,SN 2006br,NGC5185,0.024523,13h30m01.80s,+13d24m56.8s,82
83,,,,3.8,,NGC 5185,,,13h30m02.25s,+13d24m57.8s,83
84,,15:56:34.00,+20:03:08.00,4.6,,CGCG 108-013,M+03-41-04,0.032155,15h56m33.68s,+20d03m08.5s,84
85,,12:52:35.00,-09:46:34.00,4.8,,MRK 1337,M-01-33-34,0.008632,12h52m34.71s,-09d46m36.1s,85
86,,02:04:19.00,-08:44:08.00,1.1,,NGC 0809,NGC809,0.018072,02h04m18.97s,-08d44m07.1s,86
87,,00:39:00.00,-09:00:52.00,3.6,Beers et al (1991AJ....102.1581B) quote V = 13652 +- 141 km/sec from ZCAT.,NGC 0191A,NGC191A,0.020417,00h39m00.24s,-09d00m52.5s,87
88,,,,5.7,,SN 2006ej,,,00h38m59.77s,-09d00m56.6s,88
89,,21:28:37.00,+01:13:41.00,2.0,,SN 2006eq,anon7,0.049534,21h28m37.13s,+01d13m41.2s,89
90,NOTE: No objects found in NED within 10.0 arcsec,00:42:45.00,-23:33:40.00,,,,NGC232,0.022258,,,90
91,,01:47:10.00,-00:08:49.00,5.0,,GALEXASC J014710.29-000848.3,anon8,0.080055,01h47m10.33s,-00d08m48.7s,91
92,,,,5.0,,SDSS J014710.33-000848.7,,,01h47m10.33s,-00d08m48.8s,92
93,,,,5.1,,SN 2006fw,,,01h47m10.34s,-00d08m49.2s,93
94,,00:56:18.00,-01:37:33.00,1.3,,2MASX J00561810-0137327,anon9,0.044771,00h56m18.09s,-01d37m33.0s,94
95,,01:13:57.00,+00:22:18.00,2.9,,2MASX J01135716+0022171,anon10,0.050034,01h13m57.18s,+00d22m17.1s,95
96,,,,4.6,,SN 2006hx,,,01h13m57.31s,+00d22m18.0s,96
97,,05:17:34.00,-23:46:54.00,5.1,,SN 2006is,anon11,NULL,05h17m34.37s,-23d46m54.2s,97
98,,09:15:17.00,-25:36:00.00,3.7,,2MASX J09151727-2536001,anon12,0.053036,09h15m17.27s,-25d36m00.3s,98
99,,,,8.5,,SN 2006lu,,,09h15m17.63s,-25d36m00.3s,99
100,,01:51:48.00,+00:15:50.00,2.4,,SN 2006ob,UGC1333,0.059201,01h51m48.11s,+00d15m48.3s,100
101,,,,5.0,,GALEXASC J015148.28+001552.7,,,01h51m48.28s,+00d15m52.7s,101
102,,,,7.6,,UGC 01333,,,01h51m48.51s,+00d15m49.8s,102
103,,02:55:01.00,+16:00:44.00,6.2,Misidentified in MCG as 'NGC 1145'; corrected in MCG errata.,UGC 02384,UGC2384,0.032842,02h55m00.57s,+16d00m44.7s,103
104,,,,9.2,,SN 2006os,,,02h55m01.01s,+16d00m34.8s,104
105,,02:15:05.00,-20:46:04.00,5.6,,ESO 544- G 031,E544-G31,0.052990,02h15m04.60s,-20d46m03.7s,105
106,,,,6.2,,SN 2006ot,,,02h15m04.84s,-20d45m58.2s,106
107,,22:41:42.00,-00:08:12.00,1.2,,SN 2006py,anon13,0.060041,22h41m42.05s,-00d08m12.9s,107
108,,,,1.2,,SDSS J224142.04-000812.9,,,22h41m42.05s,-00d08m13.0s,108
109,,09:59:19.00,-19:28:23.00,4.0,,2MASX J09591870-1928233,anon14,0.012078,09h59m18.72s,-19d28m23.3s,109
110,,,,7.9,,SN 2007al,,,09h59m18.48s,-19d28m25.8s,110
111,,09:27:42.00,-80:10:46.00,4.4,,ESO 018- G 018,E018-G18,0.017095,09h27m40.44s,-80d10m47.8s,111
112,,15:16:42.00,+07:23:49.00,2.7,,UGC 09798,UGC9798,0.037692,15h16m41.82s,+07d23m48.9s,112
113,,,,9.4,,SN 2007ba,,,15h16m42.63s,+07d23m47.8s,113
114,,11:19:17.00,+20:48:48.00,5.4,,UGC 06332,UGC6332,0.020831,11h19m16.62s,+20d48m48.8s,114
115,,13:25:34.00,-24:39:08.00,5.7,,SN 2007cg,E508-G75,0.033246,13h25m33.58s,-24d39m08.1s,115
116,,,,8.6,,ESO 508- G 075,,,13h25m33.37s,-24d39m08.6s,116
117,,23:01:48.00,+15:35:01.00,6.3,,NGC 7461,NGC7461,0.014249,23h01m48.33s,+15d34m56.9s,117
118,,02:06:27.00,-00:53:58.00,1.2,,SN 2007hx,anon15,0.080055,02h06m27.08s,-00d53m58.3s,118
119,,,,3.9,,SDSS J020627.25-005357.8,,,02h06m27.26s,-00d53m57.8s,119
120,,,,4.5,,SDSS J020626.74-005400.4,,,02h06m26.75s,-00d54m00.4s,120
121,,01:05:46.00,-00:45:31.00,0.8,,GALEXMSC J010545.98-004530.2,anon16,0.070048,01h05m45.98s,-00d45m30.2s,121
122,,,,3.2,,SDSSCGB 00260,,,01h05m46.10s,-00d45m33.8s,122
123,,,,6.9,,2MASX J01054640-0045341,,,01h05m46.41s,-00d45m34.1s,123
124,,,,8.9,,SDSS J010545.40-004531.5,,,01h05m45.41s,-00d45m31.6s,124
125,NOTE: No objects found in NED within 10.0 arcsec,01:37:23.00,-00:18:43.00,,,,anon17,0.060041,,,125
126,,10:00:31.00,+04:24:25.00,4.1,,SN 2007S,UGC5378,0.013959,10h00m31.26s,+04d24m26.2s,126
127,,,,9.8,,SDSS J100031.13+042434.6,,,10h00m31.13s,+04d24m34.6s,127
128,,02:47:44.00,+13:15:19.00,6.1,Identification as NGC 1109 is uncertain.,NGC 1109,NGC1109,0.029830,02h47m43.58s,+13d15m19.2s,128
129,,10:09:19.00,+14:59:32.00,9.4,,SDSS J100918.44+145927.2,anon18,0.030020,10h09m18.44s,+14d59m27.2s,129
130,,09:56:03.00,+10:29:54.00,5.6,,SN 2008ae,IC577,0.030050,09h56m03.20s,+10d29m58.8s,130
131,,12:24:38.00,+10:50:21.00,3.8,,SN 2008ar,IC3284,0.026131,12h24m37.92s,+10d50m17.4s,131
132,,,,6.5,,IC 3284,,,12h24m37.56s,+10d50m20.5s,132
133,,,,8.0,,SDSS J122437.78+105013.5,,,12h24m37.79s,+10d50m13.6s,133
134,,09:38:31.00,-63:58:25.00,1.6,,SN 2008bc,anon19,0.015087,09h38m31.23s,-63d58m25.6s,134
135,,06:57:12.00,+20:26:15.00,3.8,,UGC 03611,UGC3611,0.016744,06h57m11.73s,+20d26m14.5s,135
