Amusing_Name,redshift_amusing,def_name,SN_name_1,SN_type,pgc,hyperleda_name,other_names(pgc),objtype,RA_hours_hyperleda,RA_degrees_hyperleda,DEC_deggrees_hyperleda,Delta_RA(arcsec),Delta_dec(arcsec),l2,b2,type,bar,ring,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,m21,e_m21,vrad,e_vrad,v,e_v,ag,ai,incl,btc,ubtc,bvtc,bri25,vrot,e_vrot,modz,mod0,mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source
NGC4699,0.00465,NGC4699,SN1983K,II,43321,NGC4699,UGCA301/PGC043321/NGC4699/MCG-01-33-013/LGG307:[G93]005/IRAS12464-0823/HIPASSJ1249-08/6dFJ1249022-083952/2MASXJ12490218-0839514,G,12.8172736,192.259104,-8.6643056,15.06756,13.000016,301.917169,54.2027174,SABb,B,,,2.9,0.4,1.601,0.037,0.121,0.032,,19.768,0.248,10.383,0.152,8.585,0.071,0.36,0.89,174.88,4.5,,,190.77,9.21,13.855,0.095,1394.6,3.8,1395.3,2.7,0.148,0.179,42.61,10.045,0.299,0.825,21.924,258.34,7.08,31.579,31.87,-21.534,1.0,12:49:12,-8:37:41,12:49:12,-08:37:42,HK
NGC3451,0.00445,NGC3451,SN1997dn,II,32754,UGC06023,UGC06023/PGC032754/NGC3451/MCG+05-26-028/LGG227:[G93]004/IRAS10516+2730/CGCG155-035/AGC006023/2MASXJ10542085+2714227,G,10.905813,163.587195,27.2399047,-2.9652,-1.635692,205.8880059,64.0211465,SBcd,B,,,6.6,0.7,1.22,0.065,0.327,0.05,50.0,,,13.409,0.326,,,,,103.44,2.88,,,,,15.015,0.297,1333.0,4.6,1333.0,3.2,0.094,0.583,63.47,12.727,,,22.599,115.61,3.28,31.639,32.215,-18.912,1.0,10:54:21,27:14:21,10:54:19,27:14:07,HK
NGC3389,0.004364,NGC3389,SN2009md,II,32306,NGC3389,UGC05914/SDSSJ104827.90+123159.5/SDSSJ104827.90+123159.4/PGC032306/NGC3389/NGC3373/MCG+02-28-013/LGG214:[G93]004/LEO_GROUP:[FS90]028/HIPASSJ1048+12B/CGCG066-022/AGC005914/ADBSJ104829+1232/2MASXJ10482793+1231594,G,10.8077573,162.1163595,12.5331631,-2.46942,-113.668716,233.719705,57.7405094,Sc,,,,5.3,0.6,1.428,0.031,0.355,0.029,103.9,22.502,0.281,12.497,0.113,11.548,0.58,-0.16,0.46,117.63,2.78,,,69.3,14.6,14.46,0.122,1303.9,3.1,1301.3,2.4,0.118,0.607,66.16,11.765,-0.234,0.357,22.697,128.59,3.08,31.517,31.43,-19.752,2.0,10:48:26/10:48:30,12:32:02/12:31:48,10:48:26,12:13:03,HK
NGC4809,0.003052,NGC4809,SN2011jm,Ic,43969,NGC4809,VV313:/UM523/UGC08034/SDSSJ125451.07+023914.8/SDSSJ125451.06+023914.7/PGC043969/NGC4809/MCG+01-33-022/LGG292:[G93]055/KPG358A/IRAS12523+0255/EVCC1237/CGCG043-062/ARP277:,G,12.9141908,193.712862,2.6538869,0.01968,0.090716,304.9888753,65.5119888,I,,,,9.9,0.6,1.198,0.058,0.394,0.03,65.03,22.691,0.407,14.305,0.062,14.391,0.41,,0.52,61.97,1.51,,,,,14.686,0.132,921.0,7.3,975.9,4.5,0.148,0.73,90.0,13.426,,0.387,23.228,61.97,,30.951,,-17.524,2.0,12:54:51/12:54:51,2:38:09/2:39:10,12:54:51,02:39:15,HK
IC3476,0.000564,IC3476,SN1970A,II,41608,IC3476,[RG2008]J188.17452+14.05044/VV563/VCC1450/UGC07695/SDSSJ123241.88+140301.5/PGC041608/MCG+02-32-125/IRAS12301+1419/IC3476/EVCC0844/CGCG070-157/ALFALFA1-341/AGC007695/2MASXJ12324174+1403058,G,12.5449579,188.1743685,14.0505323,0.22734,0.208372,283.5153805,76.2107745,IB,B,,,9.5,1.3,1.224,0.038,0.151,0.029,27.64,,,13.307,0.08,12.474,0.408,,0.47,50.56,1.29,,,,,16.055,0.108,-171.2,3.0,-171.6,3.8,0.155,0.281,51.2,12.871,,0.401,22.856,64.89,1.73,,30.321,-17.45,1.0,12:31:42,14:03:00,12:32:42,14:03:04,HK
NGC5917,0.006351,NGC5917,SN1990Q,II,54809,NGC5917,PGC054809/NGC5917/MCG-01-39-002/IRAS15188-0711/HIPASSJ1521-07/ARP254/2MASXJ15213256-0722376,G,15.3590645,230.3859675,-7.377059,0.8967,1.09124,354.876313,39.8989114,Sb,,,,3.1,0.7,1.225,0.056,0.205,0.038,90.0,,,13.81,0.5,12.04,0.087,,,74.76,4.13,,,,,13.573,0.234,1930.0,6.3,1927.8,6.7,0.418,0.304,53.88,13.073,,,23.331,92.55,5.2,32.298,,-19.225,1.0,15:21:33,-7:22:40,15:21:33,-07:22:26,HK
NGC6744,0.002805,NGC6744,SN2005at,Ic,62836,NGC6744,PGC062836/NGC6744/IRAS19050-6354/HIPASSJ1909-63A/ESOLV1040420/ESO104-042/AGC032316/2MASXJ19094609-6351271,G,19.1627919,287.4418785,-63.8574729,-1.57626,0.490244,332.2240282,-26.1462672,Sbc,B,R,,4.0,0.2,2.195,0.017,0.206,0.034,15.4,22.487,0.324,9.135,0.151,7.63,0.1,,,143.04,1.95,,,100.82,9.03,9.932,0.156,839.7,3.3,851.4,15.2,0.186,0.333,53.51,8.611,,,23.474,177.92,2.58,29.942,29.743,-21.331,4.0,19:09:45/19:09:45/19:09:53/19:09:53,-63:50:39/-65:49:42/-63:50:12/-63:49:15,19:09:45,-63:51:22,HK
ESO184-G082,0.00867,ESO184-G082,SN1998bw,Ic-BL,63387,ESO184-082,PGC063387/ESOLV1840820/ESO184-082/2MASXJ19350441-5250380,G,19.5845583,293.7683745,-52.8438889,-1.85982,-0.809996,344.9960725,-27.7194951,SBbc,B,,,4.1,2.6,0.915,0.045,0.07,0.024,149.84,22.508,0.319,15.093,0.286,13.91,0.077,,,,,,,,,,,,,2548.0,60.0,0.254,0.116,32.56,14.707,,,23.277,,,32.698,,-17.991,1.0,19:35:05,-52:50:40,19:35:03,-52:50:46,HK
MCG-01-57-021,0.009907,MCG-01-57-021,SN2012ho,IIP,69448,PGC069448,[RC2]A2237-02/PGC069448/MCG-01-57-021/AGC620162/6dFJ2240151-022527/2ZW183/2MIG3072/2MASXJ22401511-0225265,G,22.670867,340.063005,-2.4240983,2.8482,-0.734612,65.4732284,-50.0620696,Sbc,B,,,4.0,0.7,1.287,0.028,0.195,0.024,84.68,,,13.975,0.448,12.009,0.139,,,93.26,2.83,,,,,15.559,0.092,2968.1,4.1,2968.4,3.2,0.226,0.314,52.2,13.415,,,23.796,118.03,3.66,33.188,32.367,-19.773,2.0,22:40:13/22:40:17,-2:25:25/-2:25:25,22:40:17,-02:25:34,HK
NGC3278,0.009877,NGC3278,SN2009bb,Ic-BL,31068,NGC3278,PGC031068/NGC3278/MCG-07-22-021/IRAS10293-3941/ESOLV3170430/ESO317-043/6dFJ1031354-395717/2MASXJ10313538-3957166,G,10.5264975,157.8974625,-39.9546454,-2.2065,-1.147656,275.8210858,15.4430633,Sc,,,,5.1,0.5,1.131,0.052,0.116,0.048,60.2,20.618,0.336,13.091,0.24,11.443,0.113,,,134.67,8.28,,,,,15.643,0.201,2993.9,6.1,2993.2,4.8,0.427,0.199,40.98,12.448,,,22.263,205.36,13.19,33.067,,-20.619,1.0,10:31:34,-39:57:28,10:31:34,-39:57:28,HK
NGC4651,0.002628,NGC4651,SN2006my,II,42833,NGC4651,VV056/UGC07901/PGC042833/NGC4651/MCG+03-33-001/LGG289:[G93]096/KIG0549/IRAS12412+1640/IRAS12412+1639/HIPASSJ1243+16/EVCC1102/CGCG100-004/ARP189/2MASXJ12434262+1623362,G,12.7285194,190.927791,16.3935948,-2.89476,-2.284128,293.0698549,79.1170694,Sc,,,,5.2,0.6,1.588,0.022,0.176,0.024,77.33,20.921,0.303,11.37,0.063,9.769,0.175,,0.57,168.67,2.52,,,100.9,8.7,13.266,0.112,799.8,2.6,799.8,1.8,0.116,0.304,49.54,10.946,,0.505,22.71,221.68,3.49,30.694,31.826,-19.748,4.0,12:43:40/12:43:40/12:43:44/12:43:44,16:23:11/16:24:08/16:23:11/16:24:08,12:43:41,16:23:14,HK
NGC4900,0.003201,NGC4900,SN1999br,IIP,44797,NGC4900,UGC08116/SDSSJ130039.25+023002.6/SDSSJ130039.11+023005.1/PGC044797/NGC4900/MCG+01-33-035/LGG315:[G93]009/IRAS12581+0246/IRAS12580+0246/HIPASSJ1300+02B/EVCC1281/CGCG043-093/2MASXJ13003914+0230052,G,13.0108874,195.163311,2.5010616,3.90804,-1.802176,308.4415743,65.2741682,SBc,B,,,5.2,0.5,1.328,0.031,0.023,0.025,,21.445,0.261,11.894,0.091,11.478,0.392,,0.53,41.94,1.81,,,58.6,9.0,14.492,0.092,964.0,3.5,964.4,1.3,0.102,0.041,18.98,11.746,,0.495,22.231,128.95,6.7,30.869,,-19.123,3.0,13:00:37/13:00:39/13:00:41,2:29:36/2:30:33/2:29:36,13:00:42,02:29:46,HK
NGC5921,0.004937,NGC5921,SN2001X,IIP,54849,NGC5921,UGC09824/SDSSJ152156.48+050414.2/PGC054849/NGC5921/MCG+01-39-021/IRAS15194+0514/HIPASSJ1521+05/CGCG049-146/AGC009824/2MIG2093/2MASXJ15215656+0504139,G,15.3656893,230.4853395,5.0706351,-1.54722,-3.218636,8.1253346,47.9385429,Sbc,B,R,,4.0,0.2,1.48,0.03,0.172,0.035,136.54,22.423,0.325,11.682,0.107,11.099,0.211,0.04,0.66,72.71,1.7,,,83.9,9.2,13.941,0.11,1479.8,2.7,1433.9,23.8,0.173,0.278,49.45,11.222,-0.02,0.579,22.509,95.69,2.36,31.754,30.73,-20.532,1.0,15:21:54,05:04:00,15:21:55,05:03:42,HK
