# Galaxy                      RA                DEC            RED
NGC4699            12:49:12.23     -08:37:41.50     0.004650
NGC3451            10:54:18.95     +27:14:07.30     0.004450
NGC3389            10:48:26.28     +12:13:02.70     0.004364
NGC4809            12:54:51.10     +02:39:14.90     0.003052
IC3476            12:32:42.00     +14:03:04.00     0.000564
NGC5917            15:21:33.23     -07:22:26.50     0.006351
NGC6744            19:09:45.00     -63:51:22.00     0.002805
ESO184-G082            19:35:03.17     -52:50:46.10     0.008670
MCG-01-57-021            22:40:17.02     -02:25:34.10     0.009907
ESO113-G018            01:09:39.03     -61:19:58.30     0.026321      
NGC3278            10:31:33.92     -39:57:28.20     0.009877
NGC4651            12:43:40.74     +16:23:14.10     0.002628
NGC4900            13:00:41.80     +02:29:45.80     0.003201                   
NGC5921            15:21:55.45     +05:03:42.10     0.004937                      
TOCP-null            17:53:48.96     -31:44:40.50     NULL                                  
IC5201            22:20:57.00     -46:02:05.00     0.003052
AN15id-null            19:38:30.11     -79:25:51.90     NULL    
NGC3512            11:04:02.99     +28:02:12.60     0.004590
NGC4451            12:28:41.00     +09:15:30.00     0.002882
NGC4806            12:56:14.01     -29:29:54.80     0.008032
NGC3120            10:05:21.05     -34:13:21.00     0.009310    
NGC4487            12:31:09.46     -08:02:56.30     0.003456
NGC4772            12:53:28.85     +02:10:22.60     0.003469
NGC3318            10:37:16.07     -41:37:47.80     0.009255
NGC4691            12:48:14.28     -03:19:58.50     0.003703
NGC4965            13:07:10.53     -28:14:02.50     0.007542     
UGC12158            22:42:11.00     +19:59:49.00     0.030974
UGC11816            21:49:07.00     +00:26:50.00     0.015837
MCG+03-22-020            08:38:24.00     +17:37:53.00     0.026645
2MASXJ14564322+0919361            14:56:43.00     +09:19:42.00     0.080570
SDSSJ145931.51+164011.0            14:59:32.00     +16:40:11.00     0.035024
MCG+03-31-093            12:17:17.00     +16:22:18.00     0.023086
SDSSJ030110.70-003307.1            03:01:11.00     -00:33:13.00     0.060041
MCG+00-06-003            01:56:48.00     -00:12:45.00     0.045931
SN2005hj            01:26:48.00     -01:14:16.00     0.058040
GALEXASCJ011643.76+004738.1            01:16:43.00     +00:47:40.00     0.076452
SDSSJ225942.03-000044.3            22:59:42.00     -00:00:49.00     0.050034
MCG-03-07-040            02:36:04.00     -17:15:50.00     0.032188
NGC2930            09:37:33.00     +23:12:11.00     0.022011
UGC3634            07:01:37.00     +14:08:11.00     0.026321
NGC5185            13:30:02.00     +13:24:59.00     0.024523
MCG+03-41-004            15:56:34.00     +20:03:08.00     0.032155
MCG-01-33-034            12:52:35.00     -09:46:34.00     0.008632
NGC809            02:04:19.00     -08:44:08.00     0.018072
NGC191A            00:39:00.00     -09:00:52.00     0.020417
SN2006eq            21:28:37.00     +01:13:41.00     0.049534
NGC0232            00:42:45.00     -23:33:40.00     0.022258
GALEXASCJ014710.29-000848.3            01:47:10.00     -00:08:49.00     0.080055
2MASXJ00561810-0137327            00:56:18.00     -01:37:33.00     0.044771
2MASXJ01135716+0022171            01:13:57.00     +00:22:18.00     0.050034
SN2006is            05:17:34.00     -23:46:54.00     NULL    
2MASXJ09151727-2536001            09:15:17.00     -25:36:00.00     0.053036
UGC1333            01:51:48.00     +00:15:50.00     0.059201
UGC02384            02:55:01.00     +16:00:44.00     0.032842
ESO544-G031            02:15:05.00     -20:46:04.00     0.052990
SN2006py            22:41:42.00     -00:08:12.00     0.060041
2MASXJ09591870-1928233            09:59:19.00     -19:28:23.00     0.012078
ESO018-G018            09:27:42.00     -80:10:46.00     0.017095
UGC09798            15:16:42.00     +07:23:49.00     0.037692
UGC06332            11:19:17.00     +20:48:48.00     0.020831
E508-G75            13:25:34.00     -24:39:08.00     0.033246
NGC7461            23:01:48.00     +15:35:01.00     0.014249
SN2007hx            02:06:27.00     -00:53:58.00     0.080055
GALEXMSCJ010545.98-004530.2            01:05:46.00     -00:45:31.00     0.070048
SN2007ol            01:37:23.00     -00:18:43.00     0.060041
UGC5378            10:00:31.00     +04:24:25.00     0.013959
NGC1109            02:47:44.00     +13:15:19.00     0.029830
SDSSJ100918.44+145927.2            10:09:19.00     +14:59:32.00     0.030020
IC577            09:56:03.00     +10:29:54.00     0.030050
IC3284            12:24:38.00     +10:50:21.00     0.026131
SN2008bc            09:38:31.00     -63:58:25.00     0.015087
UGC3611            06:57:12.00     +20:26:15.00     0.016744
[WLF2008]J140732.38-263305.6            14:07:32.00     -26:33:06.00     0.046031
ESO284-G032            20:13:56.00     -44:21:05.00     0.019173
2MASXJ22104396-2047256            22:10:44.00     -20:47:17.00     0.059040
MCG-02-01-014            00:04:01.00     -11:10:27.00     0.038329
ESO570-G020            11:23:41.00     -22:16:14.00     0.027705
UGC03236            05:03:33.00     +06:39:26.00     0.028446
MCG-03-10-052            03:54:25.00     -19:11:25.00     0.025074
NGC1080            02:45:10.00     -04:42:39.00     0.026161
NGC1578            04:23:47.00     -51:35:58.00     0.020374
SN2014bz            13:56:04.00     -43:35:09.00     NULL    
SDSSJ124653.32+144748.4            12:46:53.00     +14:47:50.00     0.060000
APMUKS(BJ)B141811.91-050120.8            14:20:49.00     -05:15:02.00     0.080000
GALEXASCJ195932.30-565932.4            19:59:33.00     -56:59:27.00     0.057000
NGC7119B            21:46:15.00     -46:31:07.00     0.031982
2MASXJ13434760-3254381            13:43:48.00     -32:54:35.00     0.050000
anon27-null            05:48:23.00     -66:47:30.00     NULL    
2MASXJ06134795-6755146            06:13:48.00     -67:55:15.00     NULL    
anon29-null            12:55:33.00     -32:56:40.00     0.080000
APMUKS(BJ)B033105.19-262232.9            03:33:13.00     -26:12:24.00     0.040000
2MASXJ06380745-7543288            06:38:07.00     -75:43:37.00     NULL    
2MASXJ03101094-3638017            03:10:10.00     -36:37:45.00     0.070000
GALEXMSCJ021234.60-372019.1            02:12:34.00     -37:20:23.00     0.070000
anon34-null            04:19:47.00     -63:43:22.00     NULL    
2MASXJ05583036-6333386            05:58:30.00     -63:33:38.00     NULL    
anon36-null            04:55:16.00     -20:00:05.00     0.080000
[GC2009]J051446.44-665030.1            05:14:48.00     -66:50:29.00     NULL    
2MASXJ01460987-6727579            01:46:09.00     -67:28:00.00     NULL    
ESO287-G040            21:37:28.00     -47:02:09.00     0.030868
SN2013bz            13:26:51.00     -10:01:32.00     0.019163
ESO306-G016            05:39:53.00     -40:30:45.00     0.037332
SN2013as            11:52:52.00     -18:59:19.00     0.070048
SN2013ao            11:44:44.00     -20:31:41.00     0.030020
2MASXJ02022241-6544090            02:02:22.00     -65:44:09.00     NULL    
CGCG008-023            10:01:12.00     +00:19:46.00     0.034527
2MASXiJ0401529-263947            04:01:53.00     -26:39:50.00     0.070000
2MASXJ03194423-2700201            03:19:44.00     -27:00:26.00     0.069400
GALEXASCJ110738.65-294235.5            11:07:39.00     -29:42:41.00     0.060000
anon-46-null            02:35:18.00     -30:57:49.00     0.160000
GALEXASCJ024043.58-344425.0            02:40:43.00     -34:44:26.00     0.100000
2MASXJ06070178-6921180            06:07:02.00     -69:21:17.00     NULL    
NGC7580            23:17:37.00     +14:00:04.00     0.015967
ESO487-G004            05:22:17.00     -25:36:27.00     0.031242
