#Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC
UGC12158,0.030974,UGC12158,SN2004ef,Ia,69533,UGC12158/PGC069533/MCG+03-57-032/CGCG452-045/2MASXJ22421049+1959492,G,22.6624664,19.7350066,B223944.9+194406,22.7029139,19.997,J224210.5+195949,85.9247679,-33.4261637,310.0253744,36.0193854,0,Sb,,,,D,3.1,0.4,1.014,0.046,0.041,0.026,,,,,,15.246,0.32,,,,,11.014,0.151,,,68.29,1.91,,,,,,,15.786,0.126,,9288.7,4.6,9288.5,3.7,9288.6,2.4,0.238,0.063,25.47,0.02,1.035,14.875,,,23.987,158.8,5.22,15.764,0.889,9561.8,9478.4,9406.5,8931.0,35.693,0.115,35.46,0.03,35.475,0.116,-20.6,0.341,1.0,22:42:11,19:59:48,22:42:10,19:59:40,P95,22:42:10.49,19:59:049.2,-7.35060000006,-9.19999999999
UGC11816,0.015837,UGC11816,SN2004ey,Ia,67410,UGC11816/SDSSJ214907.30+002650.3/SDSSJ214907.29+002650.3/PGC067410/MCG+00-55-018/KIG0931/HIPASSJ2149+00/CGCG376-034/2MIG2963/2MASXJ21490730+0026509,G,21.7760344,0.2139231,B214633.7+001250,21.8186917,0.4473174,J214907.3+002650,57.4726785,-38.2682684,281.120041,44.4326597,0,Sbc,B,R,,,4.3,0.5,0.902,0.058,0.023,0.021,,22.739,0.466,16.226,0.252,14.829,0.287,,,13.575,0.323,11.499,0.11,,,52.47,1.68,,,,,,,15.346,0.186,,4747.2,3.9,4746.9,2.3,4747.0,0.8,0.596,0.039,19.08,0.02,0.957,14.163,,,23.036,160.49,6.33,15.324,1.161,4962.1,4900.0,4808.8,4402.8,34.226,0.226,34.261,0.048,34.261,0.048,-20.098,0.291,1.0,21:48:57,00:28:00,21:49:08,00:26:39,P95,21:49:07.29,00:26:50.34,10.6482000001,-11.34264
M+03-22-20,0.026645,MCG+03-22-020,SN2004gs,Ia,24286,SDSSJ083823.84+173752.8/SDSSJ083823.84+173752.7/PGC024286/NPM1G+17.0214/MCG+03-22-020/KPG166A/CGCG089-058/ARK174/2MASXJ08382384+1737526,G,8.5926621,17.8074671,B083533.6+174827,8.6399602,17.6313588,J083823.9+173753,207.9600805,31.3152395,64.8709513,-48.043628,0,E,,R,,,-3.6,1.5,0.816,0.064,0.074,0.028,41.58,22.282,0.333,16.454,0.131,15.213,0.606,,,13.465,0.096,11.081,0.068,,,,,,,,,,,,,,,,8214.0,2.4,8214.0,2.4,0.134,0.0,41.18,0.02,0.831,14.957,,,23.158,,,,,8088.9,8118.0,8202.1,8475.4,35.39,0.132,35.524,0.032,35.524,0.032,-20.567,0.606,1.0,08:38:24,17:37:53,08:38:23,17:37:40,P95,08:38:23.86,17:37:52.89,-12.8508000001,-12.89168
anon1,0.08057,2MASXJ14564322+0919361,SN2005ag,Ia,200171,SDSSJ145643.21+091936.4/PGC200171/IRAS14542+0931/2MASXJ14564322+0919361,G,14.9047569,9.5274531,B145417.1+093139,14.9453357,9.3267869,J145643.2+091936,7.8443236,55.5014597,115.0560791,31.6643827,0,SBbc,B,R,,,3.6,3.0,0.571,0.093,0.143,0.029,80.75,,,18.164,0.035,16.618,0.5,,,15.165,0.134,12.446,0.076,,,,,,,,,,,,,,,,23803.5,15.0,23803.5,15.0,0.173,0.226,45.67,0.02,0.581,16.064,,,22.957,,,,,23800.4,23832.3,23970.2,23997.5,37.778,0.045,37.62,0.08,37.74,0.079,-21.676,0.506,1.0,14:56:43,09:19:44,14:56:44,09:19:43,P95,14:56:43.21,09:19:36.43,11.8722,6.56716
anon2,0.035024,SDSSJ145931.51+164011.0,SN2005be,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14:59:33,16:40:11,14:59:33,16:40:12,P95,14:59:33,16:40:12,--,--
M+03-31-93,0.023086,MCG+03-31-093,SN2005bg,Ia,39401,SDSSJ121717.25+162217.8/SDSSJ121717.24+162217.8/SDSSJ121717.23+162217.8/PGC039401/MCG+03-31-093/KUG1214+166/IRAS12147+1638/CGCG098-131/AGC220294/2MASXJ12171723+1622172,G,12.2457882,16.6491967,B121444.8+163857,12.2881145,16.3715051,J121717.2+162217,264.8517565,76.6469826,98.1018191,-4.3041379,0,Sb,,,,C,2.8,3.0,0.804,0.065,0.059,0.028,32.12,22.309,0.288,15.977,0.047,15.107,0.327,,,14.082,0.101,12.089,0.074,,,83.1,8.86,,,,,,,15.571,0.42,13.93,6918.0,8.5,6904.3,3.3,6906.2,3.9,0.139,0.086,30.33,0.02,0.815,14.83,,,22.771,164.56,18.14,15.55,0.72,6812.6,6859.4,7019.4,7231.7,35.055,0.155,35.08,0.06,35.077,0.056,-20.247,0.332,1.0,12:17:17,16:22:16,12:17:17,16:22:18,P95,12:17:17.21,16:22:17.42,-3.18300000005,0.581639999997
anon3,0.060041,SDSSJ030110.70-003307.1,SN2005gj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:01:12,-0:33:14,03:01:12,-0:33:14,P95,03:01:12,-0:33:14,--,--
M+00-06-03,0.045931,MCG+00-06-003,SN2005hc,Ia,7299,SDSSJ015648.51-001245.2/SDSSJ015648.50-001245.2/PGC007299/MCG+00-06-003/CGCG387-004/2MASXJ01564849-0012454,G,1.9041457,-0.4563981,B015414.9-002723,1.9468027,-0.2126131,J015648.5-001245,155.8733976,-58.8388822,300.5180646,-14.9168805,0,Sbc,,,,,4.4,2.5,0.74,0.067,0.24,0.027,46.32,22.445,0.398,17.313,0.255,15.806,0.395,,,14.65,0.102,12.04,0.105,,,,,,,,,,,,,,,,13762.3,3.7,13762.3,3.7,0.141,0.396,56.95,0.03,0.744,15.179,,,22.802,,,,,13855.5,13801.1,13664.8,13486.5,36.514,0.079,36.7,0.03,36.677,0.093,-21.498,0.406,1.0,01:56:49,-0:12:45,01:56:48,-0:12:49,P95,01:56:48.49,00:12:45.41,-7.3458,1534.40716
anon4,0.05804,SN2005hj,SN2005hj,Ia,5070402,SN2005HJ,sn,1.4042014,-1.4973088,B012415.1-012950,1.44675,-1.2380556,J012648.3-011417,142.5456447,-62.7552293,297.4122809,-7.9850604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:26:48,-1:14:16,01:26:48,-1:14:17,P95,01:26:048.3,-01:14:017.0,-4.49999999998,0.000159999999649
anon5,0.076452,GALEXASCJ011643.76+004738.1,SN2005ir,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:16:44,00:47:36,01:16:44,00:47:37,P95,01:16:44,00:47:37,--,--
